In the beginning God created the heaven and the earth . ||| U početku stvori Bog nebo i zemlju .
And God said , Let us make man in our image , after our likeness : and let them have dominion over the fish of the sea , and over the fowl of the air , and over the cattle , and over all the earth , and over every creeping thing that creepeth upon the earth . ||| I reče Bog : " Načinimo čovjeka na svoju sliku , sebi slična , da bude gospodar ribama morskim , pticama nebeskim i stoci - svoj zemlji - i svim gmizavcima što puze po zemlji ! "
So God created man in his own image , in the image of God created he him ; male and female created he them . ||| Na svoju sliku stvori Bog čovjeka , na sliku Božju on ga stvori , muško i žensko stvori ih .
And God blessed them , and God said unto them , Be fruitful , and multiply , and replenish the earth , and subdue it : and have dominion over the fish of the sea , and over the fowl of the air , and over every living thing that moveth upon the earth . ||| I blagoslovi ih Bog i reče im : " Plodite se , i množite , i napunite zemlju , i sebi je podložite ! Vladajte ribama u moru i pticama u zraku i svim živim stvorovima što puze po zemlji ! "
And God said , Behold , I have given you every herb bearing seed , which is upon the face of all the earth , and every tree , in the which is the fruit of a tree yielding seed ; to you it shall be for meat . ||| I doda Bog : " Evo , dajem vam sve bilje što se sjemeni , po svoj zemlji , i sva stabla plodonosna što u sebi nose svoje sjeme : neka vam budu za hranu !
And to every beast of the earth , and to every fowl of the air , and to every thing that creepeth upon the earth , wherein there is life , I have given every green herb for meat : and it was so . ||| A zvijerima na zemlji i pticama u zraku i gmizavcima što puze po zemlji u kojima je dah života - neka je za hranu sve zeleno bilje ! " I bi tako .
And God saw every thing that he had made , and , behold , it was very good . And the evening and the morning were the sixth day . ||| I vidje Bog sve što je učinio , i bijaše veoma dobro . Tako bude večer , pa jutro - dan šesti .
Thus the heavens and the earth were finished , and all the host of them . ||| Tako bude dovršeno nebo i zemlja sa svom svojom vojskom .
And on the seventh day God ended his work which he had made ; and he rested on the seventh day from all his work which he had made . ||| I sedmoga dana Bog dovrši svoje djelo koje učini . I počinu u sedmi dan od svega djela koje učini .
And God blessed the seventh day , and sanctified it : because that in it he had rested from all his work which God created and made . ||| I blagoslovi Bog sedmi dan i posveti , jer u taj dan počinu od svega djela svoga koje učini .
These are the generations of the heavens and of the earth when they were created , in the day that the LORD God made the earth and the heavens , ||| To je postanak neba i zemlje , tako su stvarani . p Kad je Jahve , Bog , sazdao nebo i zemlju ,
And every plant of the field before it was in the earth , and every herb of the field before it grew : for the LORD God had not caused it to rain upon the earth , and there was not a man to till the ground . ||| još nije bilo nikakva poljskoga grmlja po zemlji , još ne bijaše niklo nikakvo poljsko bilje , jer Jahve , Bog , još ne pusti dažda na zemlju i nije bilo čovjeka da zemlju obrađuje .
But there went up a mist from the earth , and watered the whole face of the ground . ||| Ipak , voda je izvirala iz zemlje i natapala svu površinu zemaljsku .
And the LORD God formed man of the dust of the ground , and breathed into his nostrils the breath of life ; and man became a living soul . ||| Jahve , Bog , napravi čovjeka od praha zemaljskog i u nosnice mu udahne dah života . Tako postane čovjek živa duša .
And the LORD God planted a garden eastward in Eden ; and there he put the man whom he had formed . ||| I Jahve , Bog , zasadi vrt na istoku , u Edenu , i u nj smjesti čovjeka koga je napravio .
And out of the ground made the LORD God to grow every tree that is pleasant to the sight , and good for food ; the tree of life also in the midst of the garden , and the tree of knowledge of good and evil . ||| Tada Jahve , Bog , učini te iz zemlje nikoše svakovrsna stabla - pogledu zamamljiva a dobra za hranu - i stablo života , nasred vrta , i stablo spoznaje dobra i zla .
And a river went out of Eden to water the garden ; and from thence it was parted , and became into four heads . ||| Rijeka je izvirala iz Edena da bi natapala vrt ; odatle se granala u četiri kraka .
The name of the first is Pison : that is it which compasseth the whole land of Havilah , where there is gold ; ||| Prvom je ime Pišon , a optječe svom zemljom havilskom , u kojoj ima zlata .
And the gold of that land is good : there is bdellium and the onyx stone . ||| Zlato je te zemlje dobro , a ima ondje i bdelija i oniksa .
And the name of the second river is Gihon : the same is it that compasseth the whole land of Ethiopia . ||| Drugoj je rijeci ime Gihon , a optječe svu zemlju Kuš .
And the name of the third river is Hiddekel : that is it which goeth toward the east of Assyria . And the fourth river is Euphrates . ||| Treća je rijeka Tigris , a teče na istok od Ašura ; četvrta je Eufrat .
And the LORD God took the man , and put him into the garden of Eden to dress it and to keep it . ||| Jahve , Bog , uzme čovjeka i postavi ga u edenski vrt da ga obrađuje i čuva .
And the LORD God commanded the man , saying , Of every tree of the garden thou mayest freely eat : ||| Jahve , Bog , zapovjedi čovjeku : " Sa svakoga stabla u vrtu slobodno jedi ,
But of the tree of the knowledge of good and evil , thou shalt not eat of it : for in the day that thou eatest thereof thou shalt surely die . ||| ali sa stabla spoznaje dobra i zla da nisi jeo ! U onaj dan u koji s njega okusiš , zacijelo ćeš umrijeti ! "
And the LORD God said , It is not good that the man should be alone ; I will make him an help meet for him . ||| I reče Jahve , Bog : " Nije dobro da čovjek bude sam : načinit ću mu pomoć kao što je on . "
And out of the ground the LORD God formed every beast of the field , and every fowl of the air ; and brought them unto Adam to see what he would call them : and whatsoever Adam called every living creature , that was the name thereof . ||| Tada Jahve , Bog , načini od zemlje sve životinje u polju i sve ptice u zraku i predvede ih čovjeku da vidi kako će koju nazvati , pa kako koje stvorenje čovjek prozove , da mu tako bude ime .
And Adam gave names to all cattle , and to the fowl of the air , and to every beast of the field ; but for Adam there was not found an help meet for him . ||| Čovjek nadjene imena svoj stoci , svim pticama u zraku i životinjama u polju . No čovjeku se ne nađe pomoć kao što je on .
And the LORD God caused a deep sleep to fall upon Adam and he slept : and he took one of his ribs , and closed up the flesh instead thereof ; ||| Tada Jahve , Bog , pusti tvrd san na čovjeka te on zaspa , pa mu izvadi jedno rebro , a mjesto zatvori mesom .
And the rib , which the LORD God had taken from man , made he a woman , and brought her unto the man . ||| Od rebra što ga je uzeo čovjeku napravi Jahve , Bog , ženu pa je dovede čovjeku .
And Adam said , This is now bone of my bones , and flesh of my flesh : she shall be called Woman , because she was taken out of Man . ||| Nato čovjek reče : " Gle , evo kosti od mojih kostiju , mesa od mesa mojega ! Ženom neka se zove , od čovjeka kad je uzeta ! "
Therefore shall a man leave his father and his mother , and shall cleave unto his wife : and they shall be one flesh . ||| Stoga će čovjek ostaviti oca i majku da prione uza svoju ženu i bit će njih dvoje jedno tijelo .
And they were both naked , the man and his wife , and were not ashamed . ||| A bijahu oboje goli - čovjek i njegova žena - ali ne osjećahu stida .
Now the serpent was more subtil than any beast of the field which the LORD God had made . And he said unto the woman , Yea , hath God said , Ye shall not eat of every tree of the garden ? ||| Zmija bijaše lukavija od sve zvjeradi što je stvori Jahve , Bog . Ona reče ženi : " Zar vam je Bog rekao da ne smijete jesti ni s jednog drveta u vrtu ? "
And the woman said unto the serpent , We may eat of the fruit of the trees of the garden : ||| Žena odgovori zmiji : " Plodove sa stabala u vrtu smijemo jesti .
But of the fruit of the tree which is in the midst of the garden , God hath said , Ye shall not eat of it , neither shall ye touch it , lest ye die . ||| Samo za plod stabla što je nasred vrta rekao je Bog : ' Da ga niste jeli ! I ne dirajte u nj , da ne umrete ! ' "
And the serpent said unto the woman , Ye shall not surely die : ||| Nato će zmija ženi : " Ne , nećete umrijeti !
For God doth know that in the day ye eat thereof , then your eyes shall be opened , and ye shall be as gods , knowing good and evil . ||| Nego , zna Bog : onog dana kad budete s njega jeli , otvorit će vam se oči , i vi ćete biti kao bogovi koji razlučuju dobro i zlo . "
And when the woman saw that the tree was good for food , and that it was pleasant to the eyes , and a tree to be desired to make one wise , she took of the fruit thereof , and did eat , and gave also unto her husband with her ; and he did eat . ||| Vidje žena da je stablo dobro za jelo , za oči zamamljivo , a za mudrost poželjno : ubere ploda njegova i pojede . Dade i svom mužu , koji bijaše s njom , pa je i on jeo .
And the eyes of them both were opened , and they knew that they were naked ; and they sewed fig leaves together , and made themselves aprons . ||| Tada se obadvoma otvore oči i upoznaju da su goli . Spletu smokova lišća i naprave sebi pregače .
And they heard the voice of the LORD God walking in the garden in the cool of the day : and Adam and his wife hid themselves from the presence of the LORD God amongst the trees of the garden . ||| Uto čuju korak Jahve , Boga , koji je šetao vrtom za dnevnog povjetarca . I sakriju se - čovjek i njegova žena - pred Jahvom , Bogom , među stabla u vrtu .
And the LORD God called unto Adam , and said unto him , Where art thou ? ||| Jahve , Bog , zovne čovjeka : " Gdje si ? " - reče mu .
And he said , I heard thy voice in the garden , and I was afraid , because I was naked ; and I hid myself . ||| On odgovori : " Čuo sam tvoj korak po vrtu ; pobojah se jer sam go , pa se sakrih . "
And he said , Who told thee that thou wast naked ? Hast thou eaten of the tree , whereof I commanded thee that thou shouldest not eat ? ||| Nato mu reče : " Tko ti kaza da si go ? Ti si , dakle , jeo sa stabla s kojega sam ti zabranio jesti ? "
And the man said , The woman whom thou gavest to be with me , she gave me of the tree , and I did eat . ||| Čovjek odgovori : " Žena koju si stavio uza me - ona mi je dala sa stabla pa sam jeo . "
And the LORD God said unto the woman , What is this that thou hast done ? And the woman said , The serpent beguiled me , and I did eat . ||| Jahve , Bog , reče ženi : " Što si to učinila ? " " Zmija me prevarila pa sam jela " , odgovori žena .
And the LORD God said unto the serpent , Because thou hast done this , thou art cursed above all cattle , and above every beast of the field ; upon thy belly shalt thou go , and dust shalt thou eat all the days of thy life : ||| Nato Jahve , Bog , reče zmiji : " Kad si to učinila , prokleta bila među svim životinjama i svom zvjeradi divljom ! Po trbuhu svome puzat ćeš i zemlju jesti sveg života svog !
And I will put enmity between thee and the woman , and between thy seed and her seed ; it shall bruise thy head , and thou shalt bruise his heel . ||| Neprijateljstvo ja zamećem između tebe i žene , između roda tvojeg i roda njezina : on će ti glavu satirati , a ti ćeš mu vrebati petu . "
Unto the woman he said , I will greatly multiply thy sorrow and thy conception ; in sorrow thou shalt bring forth children ; and thy desire shall be to thy husband , and he shall rule over thee . ||| A ženi reče : " Trudnoći tvojoj muke ću umnožit , u mukama djecu ćeš rađati . Žudnja će te mužu tjerati , a on će gospodariti nad tobom . "
And unto Adam he said , Because thou hast hearkened unto the voice of thy wife , and hast eaten of the tree , of which I commanded thee , saying , Thou shalt not eat of it : cursed is the ground for thy sake ; in sorrow shalt thou eat of it all the days of thy life ; ||| A čovjeku reče : " Jer si poslušao glas svoje žene te jeo sa stabla s kojega sam ti zabranio jesti rekavši : S njega da nisi jeo ! - evo : Zemlja neka je zbog tebe prokleta : s trudom ćeš se od nje hraniti svega vijeka svog !
Thorns also and thistles shall it bring forth to thee ; and thou shalt eat the herb of the field ; ||| Rađat će ti trnjem i korovom , a hranit ćeš se poljskim raslinjem .
In the sweat of thy face shalt thou eat bread , till thou return unto the ground ; for out of it wast thou taken : for dust thou art , and unto dust shalt thou return . ||| U znoju lica svoga kruh svoj ćeš jesti dokle se u zemlju ne vratiš : tÓa iz zemlje uzet si bio - prah si , u prah ćeš se i vratiti . "
And Adam called his wife ' s name Eve ; because she was the mother of all living . ||| Svojoj ženi čovjek nadjene ime Eva , jer je majka svima živima .
Unto Adam also and to his wife did the LORD God make coats of skins , and clothed them . ||| I načini Jahve , Bog , čovjeku i njegovoj ženi odjeću od krzna pa ih odjenu .
And the LORD God said , Behold , the man is become as one of us , to know good and evil : and now , lest he put forth his hand , and take also of the tree of life , and eat , and live for ever : ||| Zatim reče Bog : " Evo , čovjek postade kao jedan od nas - znajući dobro i zlo ! Da ne bi sada pružio ruku , ubrao sa stabla života pa pojeo i živio navijeke ! "
Therefore the LORD God sent him forth from the garden of Eden , to till the ground from whence he was taken . ||| Zato ga Jahve , Bog , istjera iz vrta edenskoga da obrađuje zemlju iz koje je i uzet .
So he drove out the man ; and he placed at the east of the garden of Eden Cherubims , and a flaming sword which turned every way , to keep the way of the tree of life . ||| Istjera , dakle , čovjeka i nastani ga istočno od vrta edenskog , pa postavi kerubine i plameni mač koji se svjetlucao - da straže nad stazom koja vodi k stablu života .
And Adam knew Eve his wife ; and she conceived , and bare Cain , and said , I have gotten a man from the LORD . ||| Čovjek pozna svoju ženu Evu , a ona zače i rodi Kajina , pa reče : " Muško sam čedo stekla pomoću Jahve ! "
And she again bare his brother Abel . And Abel was a keeper of sheep , but Cain was a tiller of the ground . ||| Poslije rodi Abela , brata Kajinova ; Abel postane stočar , a Kajin zemljoradnik .
And in process of time it came to pass , that Cain brought of the fruit of the ground an offering unto the LORD . ||| I jednoga dana Kajin prinese Jahvi žrtvu od zemaljskih plodova .
And Abel , he also brought of the firstlings of his flock and of the fat thereof . And the LORD had respect unto Abel and to his offering : ||| A prinese i Abel od prvine svoje stoke , sve po izbor pretilinu . Jahve milostivo pogleda na Abela i njegovu žrtvu ,
But unto Cain and to his offering he had not respect . And Cain was very wroth , and his countenance fell . ||| a na Kajina i žrtvu njegovu ni pogleda ne svrati . Stoga se Kajin veoma razljuti i lice mu se namrgodi .
And the LORD said unto Cain , Why art thou wroth ? and why is thy countenance fallen ? ||| I Jahve reče Kajinu : " Zašto si ljut ? Zašto ti je lice namrgođeno ?
If thou doest well , shalt thou not be accepted ? and if thou doest not well , sin lieth at the door . And unto thee shall be his desire , and thou shalt rule over him . ||| Jer ako pravo radiš , vedrinom odsijevaš . A ne radiš li pravo , grijeh ti je kao zvijer na pragu što na te vreba ; još mu se možeš oduprijeti . "
And Cain talked with Abel his brother : and it came to pass , when they were in the field , that Cain rose up against Abel his brother , and slew him . ||| Kajin pak reče svome bratu Abelu : " Hajdemo van ! " I našavši se na polju , Kajin skoči na brata Abela te ga ubi .
And the LORD said unto Cain , Where is Abel thy brother ? And he said , I know not : Am I my brother ' s keeper ? ||| Potom Jahve zapita Kajina : " Gdje ti je brat Abel ? " " Ne znam " , odgovori . " Zar sam ja čuvar brata svoga ? "
And he said , What hast thou done ? the voice of thy brother ' s blood crieth unto me from the ground . ||| Jahve nastavi : " Što si učinio ? Slušaj ! Krv brata tvoga iz zemlje k meni viče .
And now art thou cursed from the earth , which hath opened her mouth to receive thy brother ' s blood from thy hand ; ||| Stoga budi proklet na zemlji koja je rastvorila usta da proguta s ruke tvoje krv brata tvoga !
When thou tillest the ground , it shall not henceforth yield unto thee her strength ; a fugitive and a vagabond shalt thou be in the earth . ||| Obrađivat ćeš zemlju , ali ti više neće davati svoga roda . Vječni ćeš skitalica na zemlji biti ! "
And Cain said unto the LORD , My punishment is greater than I can bear . ||| A Kajin reče Jahvi : " Kazna je moja odviše teška da se snosi .
Behold , thou hast driven me out this day from the face of the earth ; and from thy face shall I be hid ; and I shall be a fugitive and a vagabond in the earth ; and it shall come to pass , that every one that findeth me shall slay me . ||| Evo me tjeraš danas s plodnoga tla ; moram se skrivati od tvoga lica i biti vječni lutalac na zemlji - tko me god nađe , može me ubiti . "
And the LORD said unto him , Therefore whosoever slayeth Cain , vengeance shall be taken on him sevenfold . And the LORD set a mark upon Cain , lest any finding him should kill him . ||| A Jahve mu reče : " Ne ! Nego tko ubije Kajina , sedmerostruka osveta na njemu će se izvršiti ! " I Jahve stavi znak na Kajina , da ga tko , našavši ga , ne ubije .
And Cain went out from the presence of the LORD , and dwelt in the land of Nod , on the east of Eden . ||| Kajin ode ispred lica Jahvina u zemlju Nod , istočno od Edena , i ondje se nastani .
And Cain knew his wife ; and she conceived , and bare Enoch : and he builded a city , and called the name of the city , after the name of his son , Enoch . ||| Kajin pozna svoju ženu te ona zače i rodi Henoka . Podigao je grad i grad prozvao imenom svoga sina - Henok .
And unto Enoch was born Irad : and Irad begat Mehujael : and Mehujael begat Methusael : and Methusael begat Lamech . ||| Henoku se rodio Irad , a od Irada potekao Mehujael ; od Mehujaela poteče Metušael , od Metušaela Lamek .
And Lamech took unto him two wives : the name of the one was Adah , and the name of the other Zillah . ||| Lamek uzme dvije žene . Jedna se zvala Ada , a druga Sila .
